,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type_x,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,property_type,room_type_y,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,LSOA11CD
0,70820,Townhouse in Bristol · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,360195,Sarah,,Windmill Hill,51.43843,-2.59183,Private room,44.0,3,189,2023-11-29,1.52,5,11,11,,Private room in townhouse,Private room,2,,1 shared bath,,1.0,[],E01014734
1,117122,Condo in Bristol · ★4.96 · 1 bedroom · 1 bed · 2.5 shared baths,591555,Marcus,,Hotwells & Harbourside,51.44976,-2.61,Private room,111.0,1,180,2023-11-26,1.18,1,360,9,,Private room in condo,Private room,2,,2.5 shared baths,,1.0,[],E01033350
2,176306,Townhouse in Bristol · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,708175,Orla,,Southville,51.44174,-2.60297,Private room,35.0,5,53,2023-12-12,0.39,1,137,10,,Private room in townhouse,Private room,2,,1 shared bath,,1.0,[],E01014698
3,307634,Townhouse in Bristol · ★4.65 · 1 bedroom · 1 bed · 1.5 shared baths,1582810,Wendy,,Easton,51.46487,-2.5569,Private room,38.0,6,34,2023-12-22,0.43,3,365,3,,Private room in townhouse,Private room,2,,1.5 shared baths,,1.0,[],E01014570
4,390781,Home in Bristol · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,1954565,Fiona,,Brislington West,51.44444,-2.55783,Private room,35.0,2,59,2023-09-01,0.41,2,0,8,,Private room in home,Private room,1,,1 shared bath,,1.0,[],E01014531
5,391093,Home in Bristol · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,1956028,Louise,,Redland,51.477821350097656,-2.5919950008392334,Private room,52.0,1,84,2023-12-14,0.6,1,174,8,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014511
6,399681,Home in Westbury on Trym · ★4.96 · 2 bedrooms · 2 beds · 1 private bath,1941316,Kevin & Lesley,,Westbury-on-Trym & Henleaze,51.49491,-2.61879,Private room,80.0,2,101,2023-10-23,0.73,1,160,12,,Private room in home,Private room,3,,1 private bath,,2.0,[],E01014721
7,407485,Rental unit in Bristol · ★4.87 · 1 bedroom · 3 beds · 1 bath,2029719,Ingrid,,Ashley,51.46769,-2.5825,Entire home/apt,110.0,2,330,2023-12-10,2.33,1,0,18,,Entire rental unit,Entire home/apt,5,,1 bath,,3.0,[],E01014488
8,421205,Rental unit in Bristol · ★4.89 · 1 bedroom · 2 beds · 1 private bath,2094659,Lis,,Ashley,51.46547,-2.58458,Private room,35.0,4,194,2023-12-15,1.39,1,131,4,,Private room in rental unit,Private room,2,,1 private bath,,2.0,[],E01014489
9,422956,Home in Bristol · ★4.90 · 3 bedrooms · 4 beds · 2 baths,2103297,Lois,,Redland,51.4738,-2.60615,Entire home/apt,215.0,2,436,2023-12-14,3.07,2,323,42,,Entire home,Entire home/apt,5,,2 baths,,4.0,[],E01014672
10,554813,Rental unit in Bristol · ★4.96 · 1 bedroom · 1 bed · 1 private bath,2727252,Rich & Ray,,Lawrence Hill,51.45591,-2.57803,Private room,59.0,1,281,2023-11-06,2.01,1,34,43,,Private room in rental unit,Private room,2,,1 private bath,,1.0,[],E01033352
11,758894,Rental unit in Bristol · ★4.83 · 1 bedroom · 2 beds · 1 bath,3996407,Joanna,,Clifton,51.45524,-2.62168,Entire home/apt,153.0,3,473,2023-12-15,3.5,1,270,23,,Entire rental unit,Entire home/apt,4,,1 bath,,2.0,[],E01014546
12,868888,Home in Bristol · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,4577089,Rohan,,Eastville,51.47305,-2.54617,Private room,,7,8,2020-03-01,0.11,2,0,0,,Private room in home,Private room,1,,1 shared bath,,1.0,[],E01014575
13,942226,Barn in Bristol · ★4.86 · 2 bedrooms · 4 beds · 2 baths,2103297,Lois,,Redland,51.47461,-2.60433,Entire home/apt,145.0,2,368,2023-12-03,2.89,2,0,45,,Barn,Entire home/apt,5,,2 baths,,4.0,[],E01014667
14,975170,Home in Bristol · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,5332833,Ashley,,Eastville,51.48143,-2.55327,Private room,,3,99,2022-04-02,0.76,2,0,0,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014577
15,1033484,Home in Bristol · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,5687726,Joanne,,Ashley,51.4636,-2.57788,Private room,41.0,2,388,2023-11-12,2.98,2,48,30,,Private room in home,Private room,1,,1.5 baths,,1.0,[],E01014486
16,1166104,Townhouse in Bristol · ★4.92 · 1 bedroom · 2 beds · 1 shared bath,6386989,Anne + Iain,,Clifton,51.45169,-2.62087,Private room,37.0,7,88,2023-12-14,0.69,2,144,10,,Private room in townhouse,Private room,2,,1 shared bath,,2.0,[],E01014548
17,1180148,Home in Bristol · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,6456324,Gavin,,Knowle,51.43867804381247,-2.5671489772985154,Private room,40.0,2,52,2023-12-09,0.4,2,360,19,,Private room in home,Private room,1,,1 shared bath,,1.0,[],E01014648
18,1182074,Home in City of Bristol · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,6466360,Rebecca,,Avonmouth & Lawrence Weston,51.48503,-2.67242,Private room,40.0,1,40,2023-12-01,0.83,2,350,12,,Private room in home,Private room,2,,1 shared bath,,2.0,[],E01014495
19,1329265,Townhouse in Bristol · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,7144675,Stephanie,,Lawrence Hill,51.45919,-2.57566,Private room,42.0,4,246,2023-12-04,1.94,1,58,23,,Private room in townhouse,Private room,2,,1 shared bath,,1.0,[],E01033358
20,1337681,Home in Bristol · ★4.71 · 5 bedrooms · 6 beds · 4.5 baths,7254449,Tamsin,,Stoke Bishop,51.47269,-2.64089,Entire home/apt,600.0,7,21,2023-09-03,0.17,1,342,3,,Entire home,Entire home/apt,10,,4.5 baths,,6.0,[],E01014709
21,1457693,Home in Bristol · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,4577089,Rohan,,Eastville,51.47402,-2.54735,Private room,25.0,20,15,2020-11-15,0.12,2,206,0,,Private room in home,Private room,1,,1 shared bath,,1.0,[],E01014573
22,1536968,Townhouse in Bristol · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,360195,Sarah,,Windmill Hill,51.44044,-2.5924,Private room,,2,114,2023-06-30,1.11,5,0,2,,Private room in townhouse,Private room,2,,1 shared bath,,1.0,[],E01014734
23,1623879,Home in Bristol · ★4.95 · 1 bedroom · 1 bed · 1 bath,8635028,John,,Henbury & Brentry,51.51348,-2.59961,Private room,23.0,3,203,2023-12-14,1.63,1,86,24,,Private room in home,Private room,1,,1 bath,,1.0,[],E01014603
24,1906645,Rental unit in Bristol · ★4.95 · 1 bedroom · 1 bed · 1 bath,9487977,Abi,,Cotham,51.46699,-2.59563,Entire home/apt,88.0,3,84,2023-12-10,0.94,1,0,25,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01014563
25,2028961,Home in Bristol · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,5332833,Ashley,,Eastville,51.48329,-2.55275,Private room,,3,87,2023-05-21,0.72,2,0,6,,Private room in home,Private room,1,,1.5 shared baths,,1.0,[],E01014577
26,2164660,Home in Bristol · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,5905890,Stella,,Eastville,51.47175,-2.56267,Private room,36.0,1,276,2023-12-15,2.35,1,167,54,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014569
27,2235568,Home in Bristol · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,11413122,Tony,,Ashley,51.46774,-2.58777,Private room,51.0,2,346,2023-12-13,2.91,3,175,25,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014489
28,2403979,Home in Bristol · ★4.93 · 3 bedrooms · 5 beds · 2.5 baths,12286397,Bo,,Ashley,51.46987,-2.57697,Entire home/apt,,2,14,2019-08-08,0.12,1,0,0,,Entire home,Entire home/apt,8,,2.5 baths,,5.0,[],E01014485
29,2446524,Rental unit in City of Bristol · ★4.33 · 1 bedroom · 1 shared bath,12510269,Namrata,,Clifton,51.45915,-2.62554,Private room,35.0,1,15,2020-10-20,0.2,2,206,0,,Private room in rental unit,Private room,2,,1 shared bath,,,[],E01014544
30,2523293,Rental unit in Bristol · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,12510269,Namrata,,Clifton,51.45916,-2.62558,Private room,36.0,1,154,2023-11-04,1.32,2,235,22,,Private room in rental unit,Private room,1,,1 shared bath,,1.0,[],E01014544
31,2548956,Home in Bristol · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,13019736,Jody,,Southmead,51.50508,-2.58862,Private room,,1,417,2023-12-19,4.99,2,0,48,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014692
32,2793019,Rental unit in Bristol · ★4.81 · 1 bedroom · 1 bed · 1 bath,13804437,Kathleen,,Ashley,51.46664,-2.58431,Entire home/apt,46.0,2,72,2023-10-11,0.62,1,0,2,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01014489
33,3365141,Home in Bristol · ★4.68 · 1 bedroom · 1 bed · 1.5 baths,7588995,Michael And Olivia,,Ashley,51.46949,-2.58385,Private room,50.0,1,452,2023-12-10,3.9,1,355,41,,Private room in home,Private room,2,,1.5 baths,,1.0,[],E01014488
34,3457246,Home in Bristol · ★4.69 · 1 bedroom · 1 bed · Half-bath,17422981,Kath,,Stockwood,51.41205,-2.55552,Private room,20.0,90,35,2020-12-31,0.3,1,0,0,,Private room in home,Private room,1,,Half-bath,,1.0,[],E01014704
35,3468287,Home in Bristol · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,17474076,Monica,,Lawrence Hill,51.4628,-2.56775,Private room,28.0,30,91,2023-01-15,0.9,2,309,1,,Private room in home,Private room,1,,1 shared bath,,1.0,[],E01014653
36,3490531,Home in Bristol · ★4.53 · 1 bedroom · 1 bed · 1 private bath,650181,Jeremy,,Clifton Down,51.46566,-2.60942,Private room,49.0,5,30,2023-11-02,0.26,2,4,4,,Private room in home,Private room,1,,1 private bath,,1.0,[],E01014560
37,3635586,Rental unit in Bristol · ★4.83 · 1 bedroom · 1 bed · 1 bath,18332468,Zanna,,Clifton Down,51.4647,-2.61036,Entire home/apt,90.0,3,109,2023-11-18,0.96,1,178,14,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01014553
38,3788534,Bed and breakfast in Bristol · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,19228735,Jude,,Southville,51.4451,-2.60566,Private room,38.0,2,231,2023-06-11,2.06,1,85,19,,Private room in bed and breakfast,Private room,1,,1 shared bath,,1.0,[],E01014701
39,3879902,Home in Bristol · ★4.96 · 2 bedrooms · 3 beds · 1.5 shared baths,5687726,Joanne,,Ashley,51.465,-2.57984,Private room,54.0,2,180,2023-09-22,1.58,2,48,12,,Private room in home,Private room,2,,1.5 shared baths,,3.0,[],E01014486
40,3906876,Rental unit in Bristol · ★4.67 · 2 bedrooms · 2 beds · 2.5 baths,20235167,Robert,,Hotwells & Harbourside,51.4506,-2.60721,Entire home/apt,275.0,5,43,2023-03-16,0.39,1,329,1,,Entire rental unit,Entire home/apt,4,,2.5 baths,,2.0,[],E01033350
41,3975847,Home in Bristol · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,20605126,Val,,Clifton Down,51.46993,-2.61109,Private room,70.0,1,141,2023-12-03,1.64,2,87,22,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014559
42,4035668,Condo in Clifton · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,4147725,Toby,,Stoke Bishop,51.46729,-2.62091,Private room,70.0,5,44,2023-11-26,1.49,3,89,19,,Private room in condo,Private room,2,,1 shared bath,,1.0,[],E01014709
